Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
Safeway-Kenora #671,Starbucks,74756-97368,,LS,400 1st Ave S,400 1st Ave S,,,Kenora,ON,CA,P9N 3X7,"49.7625541687, -94.4881439209",49.76255417,-94.48814392,Central Standard Time,-360,GMT-06:00 America/Rainy_River,2013-12-08 17:41:59-05:00
Shelbourne Plaza,Starbucks,146-1,2504720513,CO,"3605 Shelbourne Street, Unit 28",3605 Shelbourne Street,Unit 28,,Victoria,BC,CA,V8P 4H1,"48.4586219788, -123.332710266",48.45862198,-123.3327103,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Yonge & Eglinton Indigo,Starbucks,4508-93343,416-487-2330,CO,2300 Yonge St,2300 Yonge St,,,Toronto,ON,CA,M4P 1E4,"43.7076148987, -79.3986816406",43.7076149,-79.39868164,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
4th & Bayswater,Starbucks,4881-120365,(604) 732-6171,CO,2948 West 4th Avenue,2948 West 4th Avenue,,,Vancouver,BC,CA,V6K 1R2,"49.2682304382, -123.170875549",49.26823044,-123.1708755,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Yonge & Finch,Starbucks,4717-102447,416-221-4820,CO,"5650 Yonge St, Suite 101",5650 Yonge St,Suite 101,,Toronto,ON,CA,M2M 4G3,"43.7798843384, -79.4162216187",43.77988434,-79.41622162,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
51 James Snow Parkway,Starbucks,4912-108636,905-636-0162,CO,"51 James Snow Parkway, Building C Unit 1, Maingate Retail Centre",51 James Snow Parkway,Building C Unit 1,Maingate Retail Centre,Milton,ON,CA,L9T 0R3,"43.5391578674, -79.8566741943",43.53915787,-79.85667419,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Britannia,Starbucks,4280-1000,(403) 214-1440,CO,812A  49th Avenue S.W.,812A  49th Avenue S.W.,,,Calgary,AB,CA,T2S 1G9,"51.0097618103, -114.082374573",51.00976181,-114.0823746,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Caulfield Village,Starbucks,154-2143,604-922-4955,CO,5339 Headland Drive,5339 Headland Drive,,,West Vancouver,BC,CA,V7W 3C7,"49.3506126404, -123.25453949",49.35061264,-123.2545395,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Scotia Centre,Starbucks,4878-119106,403 532-7941,CO,"225 7th Avenue S, 255",225 7th Avenue S,255,,Calgary,AB,CA,T2P 2W3,"51.0460586548, -114.067474365",51.04605865,-114.0674744,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
The Melville - Melville & Bute,Starbucks,4625-98621,604-682-4635,CO,"580 Bute St, The Melville",580 Bute St,,The Melville,Vancouver,BC,CA,V6E 3M1,"49.2878417969, -123.123756409",49.2878418,-123.1237564,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Bankers Hall Plus +15,Starbucks,4734-104317,403-261-2055,CO,"855 2nd St S.W., Unit 204, Bankers Hall",855 2nd St S.W.,Unit 204,Bankers Hall,Calgary,AB,CA,T2P 4J8,"51.0453834534, -114.06817627",51.04538345,-114.0681763,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Creekside,Starbucks,4864-103821,(403) 516-0297,CO,103 12294 Symons Valley Rd NW,103 12294 Symons Valley Rd NW,,,Calgary,AB,CA,T3P 0A3,"51.1634254456, -114.127281189",51.16342545,-114.1272812,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
The Westin Calgary,Starbucks,75976-100261,,LS,"320 4th Avenue, SW","320 4th Avenue, SW",,,Calgary,AB,CA,T2P 2S6,"51.0495033264, -114.068191528",51.04950333,-114.0681915,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Yonge @ Rose Hill,Starbucks,4282-879,(416) 920-5955,CO,5 Rose Hill Ave.,5 Rose Hill Ave.,,,Toronto,ON,CA,M5V 1Z7,"43.6861000061, -79.3929367065",43.68610001,-79.39293671,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Save-on-Food - New Westminster,Starbucks,74889-99486,604-520-5937,LS,610 6th St,610 6th St,,,New Westminster,BC,CA,V3L 3C2,"49.2131767273, -122.920852661",49.21317673,-122.9208527,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Westside Village,Starbucks,4328-1527,250-360-1140,CO,140-176 Wilson Street,140-176 Wilson Street,,,Victoria,BC,CA,V9A 7N6,"48.4325485229, -123.381095886",48.43254852,-123.3810959,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Hospital for Sick Children,Starbucks,4225-767,(416) 977-0855,CO,"555 University Avenue, The Hospital for Sick Children",555 University Avenue,,The Hospital for Sick Children,Toronto,ON,CA,M5G 1X8,"43.657749176, -79.3875045776",43.65774918,-79.38750458,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Stephens & West Broadway,Starbucks,4470-87360,604-736-6126,CO,2699 West Broadway,2699 West Broadway,,,Vancouver,BC,CA,V6K 2G2,"49.2641792297, -123.166320801",49.26417923,-123.1663208,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Broadway Ave & 10 Street E,Starbucks,4639-99653,306-651-7211,CO,737 Broadway Avenue,737 Broadway Avenue,,,Saskatoon,SK,CA,S7N 1B3,"52.1179504395, -106.656387329",52.11795044,-106.6563873,Canada Central Standard Time,-360,GMT-06:00 America/Regina,2013-12-08 17:41:59-05:00
Safeway - Calgary #287,Starbucks,79555-106107,403-278-5225,LS,11011 Bonaventure Dr SE,11011 Bonaventure Dr SE,,,Calgary,AB,CA,T2J 6S1,"50.9527015686, -114.062225342",50.95270157,-114.0622253,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Charleswood,Starbucks,4896-119284,(204)897-5540,CO,"3116 Roblin Blvd., Morningwood Centre",3116 Roblin Blvd.,,Morningwood Centre,Winnipeg,MB,CA,R3R 0C1,"49.8677444458, -97.2524261475",49.86774445,-97.25242615,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Place Ville Marie,Starbucks,4059-140785,514-509-9126,CO,"1 Place Ville Marie, Local 11510",1 Place Ville Marie,Local 11510,,Montreal,QC,CA,H3B 3Y1,"45.5020904541, -73.5687561035",45.50209045,-73.5687561,Eastern Standard Time,-300,GMT-05:00 America/Montreal,2013-12-08 17:41:59-05:00
765 Yonge,Starbucks,4374-12001,416-962-8555,CO,765 Yonge Street,765 Yonge Street,,,Toronto,ON,CA,M4W 2G4,"43.6709861755, -79.3869552612",43.67098618,-79.38695526,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
St. Clair & Christie,Starbucks,4540-95071,416-653-8181,CO,687 St. Clair Ave W,687 St. Clair Ave W,,,Toronto,ON,CA,M6C 1B2,"43.6814918518, -79.4258041382",43.68149185,-79.42580414,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
4450 Walker Rd,Starbucks,4557-95792,519-250-0122,CO,"4450 Walker Road, Unit 200",4450 Walker Road,Unit 200,,Windsor,ON,CA,N8W 3T5,"42.2557754517, -82.9635848999",42.25577545,-82.9635849,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway Fort Saskatchewan #846,Starbucks,74830-100386,780-998-4065,LS,Hwy-15 & 86th Avenue,Hwy-15 & 86th Avenue,,,Fort Saskatchewan,AB,CA,T8L 4P4,"53.6933288574, -113.212646484",53.69332886,-113.2126465,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Terminal SC @ Princess Ave-Nanaimo,Starbucks,4741-100791,250-716-7828,CO,"1150 North Terminal Avenue, 101, Terminal Shopping Centre",1150 North Terminal Avenue,101,Terminal Shopping Centre,Nanaimo,BC,CA,V9S 5L6,"49.1833152771, -123.95463562",49.18331528,-123.9546356,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Metral Station - Nanaimo,Starbucks,4987-133207,250-390-9861,CO,"6334 Metral Drive, Metral Station",6334 Metral Drive,,Metral Station,Nanaimo,BC,CA,V9T 2L8,"49.2302207947, -124.042320251",49.23022079,-124.0423203,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Cochrane City Centre,Starbucks,4626-99131,403-932-9856,CO,"120 5th Avenue West, 301",120 5th Avenue West,301,,Cochrane,AB,CA,T4C 0A4,"51.1892280579, -114.474739075",51.18922806,-114.4747391,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Jasper Gates,Starbucks,4286-775,780-489-2464,CO,14957 Stony Plain Rd.,14957 Stony Plain Rd.,,,Edmonton,AB,CA,T5P 4W1,"53.5400085449, -113.578773499",53.54000854,-113.5787735,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Tandem - Dawson & Gilmore,Starbucks,4660-100750,604-299-2820,CO,"4122 Dawson Street, The Tandem",4122 Dawson Street,,The Tandem,Burnaby,BC,CA,V5C 0A4,"49.2642860413, -123.013755798",49.26428604,-123.0137558,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway - Edmonton #808,Starbucks,74961-102938,,LS,8118 118th Avenue NW,8118 118th Avenue NW,,,Edmonton,AB,CA,T5B 0S1,"53.5713386536, -113.466773987",53.57133865,-113.466774,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Safeway - Vancouver #114,Starbucks,74811-99382,,LS,890 West 25 Avenue,890 West 25 Avenue,,,Vancouver,BC,CA,V5Z 2E2,"49.2486801147, -123.126480103",49.24868011,-123.1264801,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
"YUL Domestic Terminal, Gate 1",Starbucks,78011-108786,,LS,"975 boul, Romeo Vachon nord, Suite 275","975 boul, Romeo Vachon nord, Suite 275",,,Montreal,QC,CA,H4Y 1H1,"45.4583969116, -73.7474975586",45.45839691,-73.74749756,Eastern Standard Time,-300,GMT-05:00 America/Montreal,2013-12-08 17:41:59-05:00
Mt. Pleasant,Starbucks,187-125,(604) 873-5176,CO,2980 Main Street,2980 Main Street,,,Vancouver,BC,CA,V5T 3G3,"49.2584915161, -123.10092926",49.25849152,-123.1009293,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
The Core,Starbucks,4513-93211,403-261-7872,CO,"317 7th Ave SW, Unit #124, TD Square Shopping Centre",317 7th Ave SW,Unit #124,TD Square Shopping Centre,Calgary,AB,CA,T2P 2Y9,"51.0461845398, -114.068305969",51.04618454,-114.068306,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Portage Place Mall - Main Entrance,Starbucks,75210-67280,204-943-0833,LS,393 Portage Avenue,393 Portage Avenue,,,Winnipeg,MB,CA,R3B 3H6,"49.8925476074, -97.1472396851",49.89254761,-97.14723969,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
2940 Bloor Street W.,Starbucks,4291-1393,4162362225,CO,2940 Bloor Street West,2940 Bloor Street West,,,Etobicoke,ON,CA,M8X 1B6,"43.6483459473, -79.5076751709",43.64834595,-79.50767517,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway-Vancouver #115,Starbucks,74717-97378,6047379803,LS,2315 W 4th Ave,2315 W 4th Ave,,,Vancouver,BC,CA,V6K 1P2,"49.2686386108, -123.158485413",49.26863861,-123.1584854,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
York & Adelaide,Starbucks,4309-1664,(416) 367-9779,CO,"130 King Street West, The Exchange Tower",130 King Street West,,The Exchange Tower,Toronto,ON,CA,M5X 1A9,"43.649143219, -79.3838806152",43.64914322,-79.38388062,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
242 Queen St S,Starbucks,4635-99050,905-286-9494,CO,242 Queen Street South,242 Queen Street South,,,Mississauga,ON,CA,L5M 1L5,"43.5802574158, -79.7119979858",43.58025742,-79.71199799,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
1011 Upper Middle Rd E,Starbucks,4716-103129,905-842-2629,CO,"1011 Upper Middle Road East, Unit C-14W",1011 Upper Middle Road East,Unit C-14W,,Oakville,ON,CA,L6H 4L5,"43.4830551147, -79.6961746216",43.48305511,-79.69617462,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Compass @ Langara College,Starbucks,78056-116695,6043235122,LS,100 W 49th Ave,100 W 49th Ave,,,Vancouver,BC,CA,v5y 2z6,"49.224811554, -123.106933594",49.22481155,-123.1069336,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Compass @ University of Toronto Mis,Starbucks,75482-115327,,LS,3359 Mississauga Rd N,3359 Mississauga Rd N,,,Mississauga,ON,CA,L5L 1C6,"43.5489006042, -79.6639785767",43.5489006,-79.66397858,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
95 King St S,Starbucks,4733-103130,519-886-2604,CO,95 King Street South,95 King Street South,,,Waterloo,ON,CA,N2J 1P2,"43.46276474, -80.5218658447",43.46276474,-80.52186584,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
YEG Edmonton Transborder,Starbucks,70001-123124,,LS,"HMS Host, Edmonton Airport","HMS Host, Edmonton Airport",,,Edmonton,AB,CA,T5J 2T2,"53.5463905334, -113.488761902",53.54639053,-113.4887619,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Safeway - Abbotsford #88,Starbucks,74876-100963,604-850-2316,LS,32500 S Fraser Way,32500 S Fraser Way,,,Abbotsford,BC,CA,V2T 4W1,"49.0513687134, -122.323913574",49.05136871,-122.3239136,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
131 Queen Street,Starbucks,4696-101662,613-232-0731,CO,"131 Queen Street, Units F & G",131 Queen Street,Units F & G,,Ottawa,ON,CA,K1P 0A1,"45.4217147827, -75.6984786987",45.42171478,-75.6984787,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Main St & 2nd Ave - Whitehorse,Starbucks,4934-108925,(867) 633-4600,CO,201 Main Street,201 Main Street,,,Whitehorse,YT,CA,Y1A 2B2,"60.7194252014, -135.052368164",60.7194252,-135.0523682,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Notre Dame & St-Laurent,Starbucks,4061-140806,514-759-0862,CO,480 st-Laurent,480 st-Laurent,,,Montreal,QC,CA,H2Y 1S5,"45.5060005188, -73.5556335449",45.50600052,-73.55563354,Eastern Standard Time,-300,GMT-05:00 America/Montreal,2013-12-08 17:41:59-05:00
41 Fashion Drive,Starbucks,4110-141708,506-693-5579,CO,41 Fashion Drive,41 Fashion Drive,,,Saint John,NB,CA,E2J 0A7,"45.3006134033, -66.0264053345",45.3006134,-66.02640533,Atlantic Standard Time,-240,GMT-04:00 America/Moncton,2013-12-08 17:41:59-05:00
Garibaldi Village - Squamish,Starbucks,4560-95697,604-898-9510,CO,"40147 Glenalder Place, Unit 105",40147 Glenalder Place,Unit 105,,Squamish,BC,CA,V8B 0G2,"49.7365684509, -123.133880615",49.73656845,-123.1338806,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
St.Vital Chapters,Starbucks,4335-1972,2042542620,CO,"1225 St Marys Road, Unit 85-87",1225 St Marys Road,Unit 85-87,,Winnipeg,MB,CA,R2M 5E5,"49.8286399841, -97.1103134155",49.82863998,-97.11031342,Central Standard Time,-360,GMT-06:00 America/Winnipeg,2013-12-08 17:41:59-05:00
Safeway-Surrey #62,Starbucks,74758-97376,604-589-4774,LS,8860 152 St,8860 152 St,,,Surrey,BC,CA,V3R 4E4,"49.1636619568, -122.800643921",49.16366196,-122.8006439,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
3302 Woodroffe Avenue,Starbucks,4683-100798,613-823-9903,CO,3302 Woodroffe Avenue,3302 Woodroffe Avenue,,,Ottawa,ON,CA,K2J 4G5,"45.2751312256, -75.7187652588",45.27513123,-75.71876526,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Save-on-Foods - Tillicum Victoria,Starbucks,79781-133528,,LS,108 3170 Tillicum Rd,108 3170 Tillicum Rd,,,Saanich,BC,CA,V9A 6T2,"48.4545440674, -123.39466095",48.45454407,-123.394661,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Cloverdale Crossing-64th & 176th,Starbucks,4775-103544,604-574-5106,CO,"6476 176th Street, 703, Cloverdale Crossing",6476 176th Street,703,Cloverdale Crossing,Cloverdale,BC,CA,V3S 4G3,"49.1201820374, -122.733604431",49.12018204,-122.7336044,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Lynn Valley,Starbucks,172-237,(604) 986-6153,CO,2990 Mountain Highway,2990 Mountain Highway,,,North Vancouver,BC,CA,V7J 3H2,"49.3361053467, -123.037582397",49.33610535,-123.0375824,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
"YVR Vancouver Flagship, Level 3",Starbucks,72345-6248,604-231-3731,LS,"3211 Grant McConnachie Way, Vancouver International Airport",3211 Grant McConnachie Way,,Vancouver International Airport,Richmond,BC,CA,V7B 1X7,"49.1940422058, -123.181335449",49.19404221,-123.1813354,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Brentwood Village NW,Starbucks,4381-16457,4032826113,CO,301 - 3630 Brentwood Rd. NW,301 - 3630 Brentwood Rd. NW,,,Calgary,AB,CA,T2L 1K8,"51.0850982666, -114.125366211",51.08509827,-114.1253662,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
1124 Bank Street,Starbucks,4240-895,(613) 730-0052,CO,1124 Bank Street,1124 Bank Street,,,Ottawa,ON,CA,K1S 3X6,"45.3933944702, -75.6830596924",45.39339447,-75.68305969,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Six Points Plaza-5230 Dundas St W,Starbucks,4608-98091,416-233-0440,CO,"5230 Dundas St W, Six Points Plaza",5230 Dundas St W,,Six Points Plaza,Toronto,ON,CA,M9B 1A8,"43.6396217346, -79.5375137329",43.63962173,-79.53751373,Eastern Standard Time,-300,GMT-05:00 America/Toronto,2013-12-08 17:41:59-05:00
Safeway - Calgary #2117,Starbucks,74831-99495,403-240-1098,LS,2425 34 Avenue SW,2425 34 Avenue SW,,,Calgary,AB,CA,T2T 6E3,"51.0227584839, -114.116394043",51.02275848,-114.116394,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Hwy 97 & Riverside Dr - Penticton,Starbucks,4972-104887,(250) 492-6133,CO,300 Riverside Drive,300 Riverside Drive,,,Penticton,BC,CA,V2A 5Y5,"49.4957923889, -119.615234375",49.49579239,-119.6152344,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Westwood Plateau Village,Starbucks,4825-108844,(604) 552-8449,CO,"1410 Parkway Blvd, C1, Westwood Plateau Village",1410 Parkway Blvd,C1,Westwood Plateau Village,Coquitlam,BC,CA,V3E 3J7,"49.2961425781, -122.803474426",49.29614258,-122.8034744,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
Safeway - Cochrane #2219,Starbucks,74829-100385,403-851-1290,LS,304 5th Avenue W,304 5th Avenue W,,,Cochrane,AB,CA,T4C 2A5,"51.185218811, -114.47618866",51.18521881,-114.4761887,Mountain Standard Time,-420,GMT-07:00 America/Edmonton,2013-12-08 17:41:59-05:00
Safeway - Aldergrove #165,Starbucks,79692-120228,6048571351,LS,27566 Frazer Hwy,27566 Frazer Hwy,,,Aldergrove,BC,CA,V4W 3N5,"49.0570526123, -122.460639954",49.05705261,-122.46064,Pacific Standard Time,-480,GMT-08:00 America/Vancouver,2013-12-08 17:41:59-05:00
